ID;s1i1;s1i2;s1i3;s1i4;s1i5;s1i6;s1i7;s1i8;s1i9;s2i1;s2i2;s2i3;s2i4;s2i5;s2i6;s2i7;s2i8;s2i9;s3i1;s3i2;s3i3;s3i4;s3i5;s3i6;s3i7;s3i8;s3i9;s4i1;s4i2;s4i3;s4i4;s4i5;s4i6;s4i7;s4i8;s4i9;s5i1;s5i2;s5i3;s5i4;s5i5;s5i6;s5i7;s5i8;s5i9;s6i1;s6i2;s6i3;s6i4;s6i5;s6i6;s6i7;s6i8;s6i9;s7i1;s7i2;s7i3;s7i4;s7i5;s7i6;s7i7;s7i8;s7i9;s8i1;s8i2;s8i3;s8i4;s8i5;s8i6;s8i7;s8i8;s8i9
M 25 09 1979 FC 94;1;2;4;4;2;2;5;2;4;3;1;2;2;4;5;4;5;1;4;4;2;3;2;4;5;4;5;3;4;4;5;4;2;1;1;3;3;4;4;1;2;3;2;1;3;3;1;1;4;2;4;4;4;4;3;5;2;1;2;2;1;5;4;4;2;1;3;3;4;4;4;3
F 28 12 90 MG 67;1;2;3;4;1;2;4;1;4;4;1;1;4;4;3;4;3;1;2;3;2;1;1;3;5;3;4;3;3;4;4;3;4;1;1;4;1;2;2;1;4;4;2;4;2;3;1;1;4;2;3;3;4;4;2;4;3;1;2;2;2;4;3;2;2;2;4;3;3;1;3;2
M 07 06 84 ED 51;1;1;3;1;1;1;5;1;5;3;1;1;5;5;3;4;5;1;3;4;5;1;1;3;5;3;4;2;3;3;5;5;3;1;1;1;5;4;5;1;1;1;1;1;5;2;1;1;5;2;2;3;5;5;3;5;2;1;1;1;1;5;5;4;4;2;3;4;2;4;3;1
F 28 10 88 CB 04;1;2;3;5;5;5;3;1;2;3;2;2;1;4;3;1;1;5;2;2;3;5;5;5;5;4;3;3;4;3;1;1;1;1;1;1;3;3;4;1;1;1;1;1;3;3;1;1;1;3;3;4;4;3;3;4;1;1;3;1;1;1;3;1;1;1;5;5;5;1;5;3
F 12 04 91 CM 24;3;4;4;4;1;1;3;1;5;4;1;1;5;5;5;5;5;1;2;5;1;1;1;1;5;5;5;5;5;4;5;4;1;1;1;1;4;5;5;1;1;2;1;1;5;1;1;1;5;1;3;5;5;5;4;5;1;1;1;1;1;5;5;4;5;1;5;5;2;1;5;1
F 14 03 89 AE  30;1;2;1;4;4;4;2;1;1;4;2;2;4;4;4;5;2;2;5;4;2;2;2;4;2;2;4;2;2;2;2;3;1;2;2;2;2;5;2;4;4;4;2;4;2;1;2;4;4;2;1;4;4;4;1;4;3;2;2;2;2;4;4;4;2;2;2;2;3;4;4;4
F13192EA49;5;4;2;4;1;1;4;4;3;2;1;1;4;5;4;4;4;2;4;4;2;2;1;4;4;4;5;4;4;4;4;5;4;1;1;1;2;4;2;2;2;4;2;3;4;2;2;2;2;4;2;4;4;4;2;4;4;2;2;2;2;2;4;4;4;2;2;4;4;2;4;2
F060591MF45;2;4;4;4;2;2;3;2;3;2;1;1;3;4;2;4;4;2;2;4;2;2;2;3;4;4;3;2;3;3;4;5;3;1;2;1;4;4;5;1;1;1;1;1;4;2;1;1;4;2;2;4;4;4;2;4;2;1;2;2;1;4;4;3;2;2;4;4;3;2;4;2
F02109148;3;4;3;4;2;3;3;3;4;2;3;2;4;4;3;4;4;2;2;3;2;3;2;3;4;3;4;3;3;3;4;4;3;2;2;2;2;3;2;2;2;3;2;2;4;3;2;2;4;2;3;2;2;4;3;3;2;2;2;3;2;4;4;3;2;2;4;2;2;2;4;2
M 30 05 87 GB 52;1;3;5;5;4;2;4;1;2;5;1;1;5;5;5;5;5;1;5;5;1;1;1;5;5;5;5;5;3;3;5;5;5;1;1;1;5;3;5;1;1;4;1;1;5;5;1;1;5;1;1;5;5;5;3;5;4;1;1;1;1;5;5;4;4;1;5;5;1;1;5;1
F 05 05 89 BP 58;2;3;4;3;2;3;4;3;4;3;1;3;4;4;3;3;2;2;3;3;3;3;2;4;4;3;5;3;2;2;4;5;2;1;2;2;2;3;2;3;3;3;3;2;2;3;2;3;4;2;3;4;3;5;3;4;2;2;2;3;2;4;4;4;2;2;3;4;3;2;3;2
F260491AN47;2;2;4;2;2;2;4;2;2;4;1;1;4;4;4;4;4;1;4;4;1;1;1;4;4;4;4;4;4;3;5;5;5;1;1;1;5;5;5;1;1;4;2;2;5;4;1;1;5;2;4;4;2;5;1;4;2;2;2;4;2;4;5;2;4;1;4;4;4;2;5;1
f 05 02 85 ap 50;1;3;3;2;3;3;3;2;4;2;3;3;4;4;4;5;2;1;4;4;4;2;2;4;4;3;4;3;4;3;5;5;5;1;1;2;4;4;4;1;3;2;1;1;4;2;2;2;4;3;3;4;4;3;4;4;3;1;2;2;1;4;4;4;2;3;3;3;3;4;4;2
F141290LB68;3;3;3;3;3;3;3;3;3;4;1;1;4;2;4;5;5;5;3;4;2;1;1;5;5;5;5;2;2;3;4;4;4;1;1;1;4;4;4;2;1;2;2;2;4;2;1;1;5;2;4;4;4;5;3;4;2;1;1;1;1;5;5;2;2;1;5;5;3;3;5;1
F 25 07 91 BN 82;2;4;3;4;2;2;2;2;2;2;1;4;4;2;4;4;2;2;3;2;2;2;2;4;4;2;2;2;2;3;4;2;2;2;4;4;2;2;2;2;4;2;4;2;2;2;2;4;4;4;4;2;4;2;4;4;2;2;2;4;2;4;2;2;2;2;2;2;4;4;4;4
M280182LF76;5;4;5;2;1;2;4;1;4;2;1;1;5;5;4;4;2;1;2;2;3;1;1;3;5;4;5;2;1;2;5;3;4;5;4;1;4;5;5;1;2;4;2;2;5;2;1;3;4;1;2;4;5;5;2;4;2;1;2;2;1;4;2;4;2;4;2;4;2;5;4;1
NO ANSWER;4;2;3;1;5;4;2;3;1;5;1;4;1;5;4;2;2;1;5;2;1;1;1;4;5;5;5;4;4;5;3;5;1;1;4;1;1;1;4;3;1;3;1;1;1;2;1;1;1;1;3;4;4;5;1;2;3;1;1;3;2;4;5;3;2;2;1;2;4;3;2;4
M 13 02 91 MS 16;3;1;4;1;1;1;5;1;5;3;1;1;5;5;4;5;5;1;3;5;1;1;1;3;5;5;5;5;5;3;5;5;3;1;1;1;4;4;5;1;1;1;1;1;5;2;1;1;5;1;3;5;5;5;3;5;1;1;1;1;1;5;5;4;4;1;4;5;1;1;5;1
F 23 09 59 EZ 41;3;2;4;4;2;3;4;4;3;2;3;2;4;4;3;4;4;2;2;4;2;2;2;4;4;2;2;3;2;3;4;4;3;2;3;2;2;4;2;3;3;4;2;3;2;2;2;3;4;2;3;4;4;2;2;4;2;2;2;3;2;4;2;4;2;2;4;4;3;2;4;4
F 04 09 86 ET 20;3;3;2;3;2;2;4;2;3;2;5;5;5;2;3;2;2;4;4;3;2;1;1;3;3;4;3;3;3;3;4;3;3;1;1;1;2;2;3;2;1;3;2;1;2;2;2;1;4;3;3;4;4;4;2;3;1;1;2;3;1;4;3;3;2;2;4;4;3;2;4;2
F170289VB9;3;3;4;2;2;3;3;2;4;4;1;2;1;4;3;4;4;1;3;3;2;1;2;3;2;4;4;2;3;3;4;3;3;1;1;2;3;3;3;2;3;3;3;1;4;3;2;3;2;3;3;3;2;4;3;3;3;2;2;3;1;4;3;3;2;4;3;3;3;4;3;4
F 05 04 89 FS 55;2;2;4;3;2;2;4;2;3;3;1;2;3;4;4;4;2;2;3;4;2;2;2;3;4;3;4;2;3;2;4;3;3;2;2;3;2;4;4;2;3;2;2;1;3;3;2;2;3;2;3;4;4;4;3;4;2;2;2;2;2;5;3;4;2;2;3;4;3;3;4;3
F 07 04 91 FL 91;1;4;3;1;3;4;4;3;3;4;2;2;2;1;3;3;2;4;3;3;1;2;2;3;4;3;4;4;4;3;4;5;3;1;1;1;3;3;3;3;2;1;4;2;3;3;2;2;4;2;3;4;4;5;4;4;3;2;3;3;1;4;4;4;4;4;4;4;3;4;3;4
F 03 05 91 SS 73;2;4;4;4;3;3;2;2;1;3;3;3;3;4;3;3;3;2;4;4;3;2;2;3;3;3;4;2;3;3;3;4;3;2;2;2;4;4;3;2;3;3;4;3;2;1;3;3;3;3;2;4;4;3;3;4;3;2;2;2;3;4;4;3;2;3;3;3;4;4;4;3
M211061EA04;3;3;4;1;3;3;2;3;3;5;1;1;1;5;1;3;5;3;3;3;3;1;3;3;1;3;1;5;3;3;1;3;3;5;5;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;3;3;3;1;3;3;1;5;1;3;3;1;1;3;3;1;5;3
M 11 03 85 AS 94;3;1;3;1;1;3;3;1;5;3;1;1;5;4;3;5;5;4;2;3;2;1;3;3;2;2;5;3;1;3;3;2;2;1;1;3;1;2;2;3;2;2;4;1;1;1;1;1;5;3;2;5;5;3;2;1;1;1;2;3;1;3;5;4;4;1;5;5;2;1;5;2
M 01 02 65 GF 46;1;1;5;1;1;1;5;1;3;1;1;1;1;5;5;5;5;1;5;5;1;1;1;5;5;5;5;5;5;3;3;5;3;1;1;1;5;5;5;1;1;3;1;1;5;1;1;1;5;1;1;5;5;5;3;5;3;1;1;1;1;5;5;1;5;1;5;5;3;1;3;3
F 07 05 91 VQ 93;1;5;4;4;2;2;1;1;2;2;2;2;4;4;3;3;2;1;3;3;2;2;1;3;4;4;5;2;2;4;4;4;3;2;2;1;2;3;2;4;4;4;4;1;2;2;2;2;4;2;3;4;4;4;3;4;1;1;2;3;1;4;4;3;2;2;3;4;3;4;4;4
F 14 05 91 CC 07;1;4;2;3;5;5;3;2;1;1;3;1;5;5;3;4;5;1;4;5;1;3;2;4;2;5;5;4;3;5;3;4;5;2;1;3;5;4;3;2;1;4;2;1;5;2;3;4;3;1;2;3;4;5;1;3;3;1;1;4;1;4;5;5;2;3;4;3;5;4;1;4
M110787ET32;1;1;1;1;1;1;1;1;3;5;1;1;5;5;5;5;5;1;3;5;3;1;1;3;5;5;5;5;3;3;5;5;3;1;1;1;3;1;1;1;1;1;1;1;3;3;1;1;1;1;3;3;3;3;3;3;3;3;1;1;1;3;3;3;3;1;3;3;3;1;3;1
F 24 08 91 MM 84;1;4;3;2;3;3;4;1;2;4;1;1;5;5;3;4;3;1;3;3;2;1;1;2;5;4;3;3;3;4;4;4;3;1;1;3;3;3;4;1;2;3;2;1;3;3;1;1;4;2;3;4;4;4;3;3;3;1;3;2;1;4;5;3;1;2;4;4;3;2;5;3
F 15 4 54 C G 81;1;2;5;5;1;1;5;5;5;5;1;1;5;5;1;1;1;1;1;5;5;1;1;1;1;5;1;1;5;1;5;5;5;5;5;5;5;5;5;5;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;1;1;1;1;1;1;1;1;5;5;5
M 27 04 89 GP 75;4;3;4;2;3;3;3;2;3;3;1;2;4;3;2;4;2;3;3;4;2;2;3;3;4;3;4;3;3;3;4;3;2;2;2;3;3;4;4;2;3;3;2;1;2;3;2;2;4;3;3;4;4;4;3;4;2;2;3;3;2;3;3;3;2;2;3;2;3;3;4;3
F210891BM00;5;5;2;5;2;2;2;2;4;4;2;2;4;4;2;4;4;2;2;4;2;2;2;3;3;4;4;2;4;4;4;4;4;2;2;2;4;2;2;4;4;2;4;2;4;2;4;2;4;2;4;2;4;2;2;4;2;4;2;4;2;4;2;2;2;4;2;4;2;2;4;2
F200290FB44;1;5;2;3;3;3;4;3;3;3;3;2;3;4;3;5;4;1;4;4;2;3;3;4;4;4;4;2;3;3;3;3;4;1;2;3;4;4;2;2;3;3;3;3;4;2;2;2;3;2;2;4;4;4;3;4;3;3;3;3;3;4;4;4;4;3;3;3;3;4;3;2
F110488SB24;4;4;5;4;3;2;4;1;5;3;2;4;4;4;4;4;5;1;4;4;1;1;2;4;5;2;4;2;2;4;4;2;3;1;1;4;1;3;5;1;1;1;2;2;5;2;2;2;2;2;2;4;4;4;4;4;2;1;3;2;1;5;3;3;4;3;4;4;1;2;4;2
F 01 05 91 EB 61;3;2;4;2;2;3;4;4;4;1;2;2;5;4;4;4;2;2;5;2;2;2;2;5;4;2;2;5;1;1;4;4;2;2;2;2;5;2;4;2;2;2;2;2;4;1;2;4;4;2;3;4;4;4;5;2;4;2;4;4;4;4;2;2;4;2;2;4;4;4;3;2
M071090AA27;1;2;5;1;1;3;4;3;5;3;1;1;5;5;3;5;5;1;3;5;3;3;1;4;5;3;3;3;5;3;5;5;3;1;1;1;2;4;1;1;1;4;1;1;5;3;1;1;5;1;2;5;5;5;3;5;2;1;1;1;1;5;5;4;1;1;3;5;4;3;4;1
m220991ei18;2;2;2;1;1;1;2;2;2;3;3;1;5;4;3;5;4;2;3;4;2;3;2;4;4;3;4;2;2;2;4;3;2;3;4;3;5;2;1;4;4;4;4;4;3;2;2;3;4;2;2;4;5;3;3;2;2;1;3;3;4;4;2;2;1;3;2;2;4;4;2;2
F090791ac40;1;1;5;1;1;1;1;1;5;3;4;3;2;2;4;3;3;4;4;3;3;3;3;3;2;3;3;1;1;3;2;2;3;2;4;5;4;5;1;3;5;5;5;4;1;1;4;2;2;4;3;3;4;3;3;2;4;2;3;3;2;4;4;3;2;3;2;2;4;4;3;3
F 22 07 93 FE 76;1;2;3;2;3;3;5;3;3;3;2;3;4;5;3;3;3;1;1;4;3;2;2;4;4;3;4;4;4;3;3;4;3;2;3;2;4;3;4;2;2;2;2;2;4;2;2;3;4;2;3;3;3;4;2;3;4;2;3;3;2;4;3;4;3;2;3;3;2;2;3;2
NO ANSWER;2;3;5;1;1;4;3;2;2;4;1;3;2;2;2;5;4;3;4;5;3;1;1;4;2;3;2;1;1;3;4;5;3;1;3;2;2;2;3;2;3;4;2;1;2;2;1;2;4;3;2;4;4;5;2;4;2;3;2;3;3;4;2;2;4;3;2;4;3;4;3;2
M 11 01 80 MB 83;1;3;4;1;2;2;4;1;2;5;1;1;5;1;2;4;4;2;1;3;1;1;1;2;5;3;4;4;4;4;4;4;4;1;1;1;4;1;4;1;1;2;2;2;4;2;1;1;4;2;2;4;4;5;2;4;2;1;2;2;1;5;3;3;2;1;5;4;3;2;4;2
M200790MM92;3;2;4;4;2;2;4;3;3;3;1;1;4;4;3;3;3;2;3;3;3;3;2;3;4;3;3;3;3;3;4;4;3;2;1;2;2;4;1;2;2;2;1;3;2;2;1;1;4;4;3;3;4;3;3;3;2;1;1;1;1;4;4;3;3;2;3;4;3;3;3;3
NO ANSWER;1;1;1;1;1;1;4;1;3;4;1;1;2;4;4;4;4;2;4;4;1;1;1;3;4;4;4;3;3;3;4;4;4;2;2;2;4;3;3;2;2;2;2;2;5;3;2;2;4;1;1;4;4;4;2;4;3;2;2;1;2;4;4;2;3;1;4;4;2;2;4;2
M 10 04 91 MB 26;3;3;2;3;2;2;3;2;4;3;1;1;5;5;3;4;5;1;2;4;1;1;2;3;4;4;5;4;4;3;5;4;3;1;1;1;3;3;5;1;1;2;1;1;5;2;1;1;4;1;2;4;4;5;3;4;1;1;2;2;1;5;5;3;4;1;3;4;2;2;3;1
F 11 11 90  AR 55;2;3;1;1;1;1;2;1;1;3;1;1;5;5;4;5;3;1;3;4;1;2;1;3;5;4;5;4;3;3;5;1;3;1;1;1;4;5;3;1;2;3;1;1;5;4;1;1;5;1;3;3;5;5;3;3;4;1;1;4;1;5;5;5;1;4;4;1;3;4;4;3
F 19 04 89 LA 98;2;3;1;4;2;2;1;4;1;1;2;4;2;2;3;3;4;4;3;3;4;4;3;3;4;2;2;1;2;3;2;2;3;4;3;4;3;3;3;4;4;4;4;2;2;2;2;4;2;4;2;2;2;2;1;2;3;4;4;4;2;3;2;1;1;3;1;1;4;4;2;5
M 17 09 88 AC 42;1;4;1;4;2;3;4;1;3;2;2;1;1;5;2;5;4;2;4;4;1;2;2;4;4;4;4;1;2;4;4;4;2;1;1;1;1;4;2;2;5;5;2;3;2;2;1;1;4;2;1;5;5;5;2;5;2;1;4;3;1;5;5;4;4;2;2;4;2;4;5;2
F250986AM83;3;4;4;1;1;3;4;1;3;3;2;2;5;4;3;4;3;1;3;4;2;3;2;3;4;4;4;4;5;3;5;4;3;1;3;2;2;3;4;2;2;3;3;1;3;2;2;3;3;4;3;3;3;3;3;4;3;1;2;2;2;3;4;3;4;3;3;4;4;3;3;2
F 05 12 90 MD 27;2;2;4;2;1;1;4;1;2;2;4;3;4;5;4;1;1;4;2;4;3;2;1;1;5;5;4;4;5;5;5;5;2;2;3;1;1;2;4;2;2;2;4;2;2;1;1;1;4;2;4;4;5;2;2;2;4;4;5;5;5;2;2;5;2;4;4;2;4;4;3;4
F 18 5 88 CP 82;2;4;3;4;3;3;3;3;3;3;2;3;3;3;3;3;2;2;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;1;1;1;4;3;3;2;3;3;1;1;2;2;3;3;3;3;3;3;2;2;3;3;3;3;2;2;2;4;2;3;3;3;2;2;3;3;2;3
F 15 02 55 LN 60;1;3;4;3;1;2;4;2;5;2;1;2;4;5;3;1;4;2;3;4;2;1;1;4;4;4;5;3;4;4;3;4;4;2;2;2;4;4;3;2;2;3;4;5;3;2;1;2;4;2;2;4;4;4;3;4;4;2;1;2;1;3;3;4;4;3;4;5;3;4;5;4
M 15 01 85 SB 38;2;2;3;1;2;3;4;3;3;4;1;1;4;4;3;4;4;1;2;4;3;2;1;2;4;4;5;2;3;2;1;4;2;1;1;1;3;4;2;1;4;4;3;3;4;4;1;1;4;2;2;4;5;5;4;4;3;1;4;4;1;5;3;4;4;2;5;5;4;1;3;3
mrdag640;2;5;4;3;2;3;4;2;1;1;2;1;3;2;2;3;1;4;5;3;4;1;2;5;4;3;5;4;2;3;4;5;4;3;2;4;2;4;4;1;2;2;1;1;2;1;1;1;2;4;3;3;3;4;2;2;1;1;2;4;1;5;2;2;5;1;2;5;4;2;4;4
F 04 06 60 MF 13;1;3;4;1;1;1;4;1;1;3;1;1;4;1;4;4;4;1;4;4;2;2;2;4;2;2;4;3;3;3;4;1;4;1;1;1;3;3;4;1;1;2;3;2;4;2;2;2;2;2;2;2;4;4;3;3;3;1;1;1;3;3;4;2;2;2;2;4;3;3;4;2
AABBCCDDEE;2;1;2;1;1;3;5;1;3;3;1;3;5;1;3;3;3;1;2;4;3;1;1;4;5;5;4;2;2;3;4;4;3;1;1;2;2;2;2;1;1;4;1;1;5;1;1;3;4;4;2;4;4;2;3;4;4;1;2;3;1;5;5;4;2;2;4;4;4;2;3;2
M 24 06 90 MC 67;1;4;3;3;1;1;5;1;5;4;1;1;5;4;4;4;4;1;3;4;2;1;1;1;5;5;5;2;3;4;5;5;3;1;1;5;5;4;4;1;1;4;2;1;1;2;1;3;5;1;2;3;4;1;2;4;3;2;1;1;1;4;5;2;2;2;3;5;2;4;4;1
f210991ac29;3;2;5;4;1;3;2;1;2;1;2;2;5;3;3;2;2;1;3;4;3;2;2;4;4;4;4;3;3;4;1;3;1;1;4;1;3;4;2;4;4;4;4;2;3;5;2;3;4;2;5;4;4;3;3;2;3;3;4;4;3;4;4;5;3;4;3;2;4;3;3;5
NA;2;3;2;2;2;3;4;2;2;2;2;2;4;4;4;4;2;2;2;2;2;2;2;4;4;2;4;2;2;3;4;4;4;2;2;4;4;4;2;2;4;4;2;2;2;2;2;2;4;2;2;4;4;4;2;4;2;2;2;2;2;4;4;4;2;2;4;4;2;4;4;2
F 29 11 90 AB 83;2;1;4;2;1;1;5;1;4;4;1;1;4;4;2;5;2;5;4;4;2;1;1;1;5;4;5;3;3;4;4;4;4;1;2;1;2;4;4;1;1;3;1;1;4;2;1;1;5;2;2;2;4;4;1;5;2;1;2;2;1;5;5;4;2;1;2;4;3;2;5;2
F 03 03 90 CA 01;3;4;4;5;2;5;4;2;2;3;2;4;2;4;5;5;2;2;4;4;2;2;2;5;4;2;5;2;4;3;4;5;4;2;2;1;2;4;4;2;2;4;4;2;2;1;2;2;4;4;2;2;4;2;2;4;4;2;2;4;2;4;4;4;4;2;2;4;4;5;4;2
F 25 03 89 IS 27;1;2;3;2;3;4;5;3;4;2;3;2;4;3;3;2;2;4;2;4;4;2;3;3;3;4;5;1;2;3;4;2;4;3;2;3;1;2;2;3;3;2;4;4;4;2;4;3;2;3;3;4;3;2;2;2;4;3;2;2;2;2;3;3;5;4;4;3;4;4;3;4
F090190SC88;2;2;4;2;2;4;4;2;2;2;2;2;4;4;4;4;4;2;4;4;2;2;2;4;4;4;4;4;4;4;4;4;2;2;2;2;4;4;4;2;2;2;2;2;4;1;2;2;4;2;2;2;2;4;2;4;2;2;4;4;2;4;4;4;2;4;4;4;2;2;4;2
M230790RC06;1;5;2;5;4;1;4;3;2;2;2;2;4;5;4;4;4;1;1;1;5;3;4;4;2;1;4;1;2;4;4;4;2;2;2;2;1;1;1;2;2;1;2;2;5;1;1;4;2;4;3;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
NA;2;2;3;1;4;4;5;3;2;1;1;1;1;4;4;5;4;1;3;3;4;1;1;5;5;2;5;3;3;3;1;4;1;3;1;2;3;2;2;1;4;3;4;2;2;1;1;3;1;1;1;5;4;5;3;2;3;1;4;3;1;5;4;5;3;2;1;2;4;3;2;2
F020590FR07;1;5;5;3;5;4;3;1;5;3;1;1;5;5;3;3;3;1;3;5;3;2;1;3;5;3;5;3;3;3;5;5;3;1;1;1;3;5;3;1;1;3;3;1;5;1;1;3;5;1;1;5;5;5;3;5;1;1;1;1;1;5;5;3;3;3;5;4;3;1;5;1
M 06 07 89 LC 75;2;4;4;4;2;2;2;1;5;4;2;3;2;1;3;4;3;4;2;4;1;4;2;2;4;3;4;1;2;2;3;2;4;4;3;1;1;2;2;3;1;5;4;2;3;1;2;2;4;3;4;4;2;1;4;3;4;5;4;2;2;3;1;3;2;2;1;2;3;2;1;4
F161191IDM89;1;1;3;1;1;2;4;1;2;2;1;2;4;2;2;4;3;2;1;4;3;2;2;4;5;2;2;1;2;2;5;2;2;1;2;4;2;3;2;1;1;4;2;1;1;2;1;2;4;2;2;4;5;2;2;4;3;1;3;2;1;5;2;1;2;1;2;4;4;2;4;3
F 26 02 90 GA 84;1;2;4;2;2;2;5;2;5;4;1;1;5;5;4;5;3;1;3;4;2;2;1;3;5;4;5;3;4;3;5;5;5;1;1;2;3;5;5;1;1;2;1;1;5;2;1;1;5;2;1;5;5;5;2;5;3;1;1;1;1;3;5;4;3;2;4;4;2;2;5;2
F 21 11 88 IL 97;3;4;3;4;3;2;4;1;4;2;1;2;3;3;2;3;3;2;3;4;2;2;3;3;4;4;3;4;3;3;4;4;3;2;2;1;2;4;3;3;2;1;3;1;3;2;1;1;2;2;4;4;4;4;2;3;2;2;3;1;2;4;4;4;2;2;2;4;2;4;4;1
f0602196931;4;3;1;1;1;1;5;5;3;1;3;1;1;1;3;5;5;3;3;5;1;1;5;5;3;5;3;1;5;3;1;1;5;4;3;3;3;5;1;1;5;5;1;1;3;1;1;1;3;3;5;1;5;3;5;1;1;1;5;5;1;5;3;5;1;1;1;3;5;1;5;1
F181090MA22;1;4;5;3;3;4;4;2;3;3;1;3;4;4;4;4;3;2;3;4;4;2;2;3;4;4;4;3;3;4;4;4;3;2;2;2;3;4;2;2;2;2;2;2;4;3;2;2;4;2;3;4;4;4;3;4;2;2;2;2;2;4;4;3;2;2;3;4;2;2;4;2
F120487AM81;4;3;3;1;2;2;4;2;2;2;2;2;3;5;3;3;4;3;3;3;2;1;1;1;5;5;5;2;3;3;3;2;3;2;2;3;1;3;3;1;1;1;1;1;5;1;2;2;4;3;3;3;4;5;3;2;1;1;2;3;1;4;5;4;2;2;4;4;4;3;5;2
M 18 05 79 FP 25;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;1;1;5;5;5;5;5;1;3;1;5;1;5;5;5;5;1;5;5;1;3;1;5;5;1;1;1;1;4;1;5;1;5;3;5;3;1;1;3;1;5;4;1;5;1;5;5;3;1;5;1
F 04 08 88 SB 42;4;3;3;2;2;3;3;3;3;2;2;3;3;3;3;4;3;2;4;3;3;2;4;4;3;4;3;2;3;3;4;4;3;2;2;2;2;4;3;2;4;3;3;1;2;2;2;3;4;3;3;3;4;4;4;4;3;1;1;1;2;4;4;3;5;3;3;2;3;4;4;3
F 26 07 91 SP 88;3;4;3;3;2;3;3;2;3;3;2;3;3;4;3;4;3;2;3;3;2;2;2;3;4;3;4;3;3;3;3;4;3;2;2;3;3;4;3;3;2;3;3;2;3;2;2;2;4;2;3;3;4;4;3;3;3;2;3;3;2;3;4;3;3;2;3;4;3;3;3;2
F220889GB67;3;2;1;2;1;1;2;2;4;2;1;2;4;3;3;3;3;2;2;2;3;1;1;3;4;2;2;2;2;3;4;2;2;1;2;3;4;2;2;3;3;3;2;2;3;2;2;1;4;3;4;3;2;2;4;4;3;2;1;2;1;4;5;3;4;2;4;4;2;4;2;3
M 04 05 88 GP 01;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
F161091ML64;2;4;2;3;2;2;2;3;3;5;1;1;2;5;3;3;2;3;2;3;2;2;2;2;4;4;3;2;3;3;3;3;3;2;2;2;3;2;2;2;2;2;2;2;4;2;2;2;4;3;3;3;4;3;2;3;3;2;3;4;2;4;3;2;2;4;2;4;4;4;3;3
M 14 04 89 AP 09;2;2;2;2;4;4;4;4;2;2;2;2;4;4;4;2;4;3;4;4;3;2;2;5;4;4;4;4;4;4;4;4;2;2;2;1;3;4;2;2;4;4;2;2;3;2;2;2;4;2;2;4;4;4;2;2;3;2;4;4;2;4;2;2;2;3;4;4;4;3;4;3
f 22/05/1978 sura corti 3394038954;2;2;2;2;2;2;4;2;4;2;2;2;4;4;4;2;4;2;4;4;2;2;2;2;4;4;4;4;4;4;4;4;4;1;1;2;4;2;4;1;1;2;1;1;4;1;1;1;4;1;1;4;4;4;1;4;2;1;1;1;1;4;4;2;1;1;4;4;2;2;4;4
F 25 04 90 CF 63;1;4;4;4;4;2;4;2;3;2;2;2;4;2;4;4;2;2;3;4;4;2;2;3;4;3;4;2;3;3;4;3;4;1;2;2;4;4;3;2;2;3;1;2;4;2;1;4;4;2;2;3;4;4;3;4;2;2;3;3;1;4;3;3;2;2;3;3;4;3;2;4
F 26 05 59 EG 90;1;4;4;4;2;2;4;2;2;2;2;1;4;2;2;4;2;2;4;4;2;2;1;2;4;4;2;2;3;2;4;1;2;1;1;1;1;2;4;2;1;2;2;1;4;2;2;2;4;2;2;4;4;4;2;4;4;1;1;2;1;4;4;4;4;2;4;4;2;2;3;2
F 16 03 90 GB 00;2;3;3;3;1;4;5;2;4;2;1;2;5;5;3;3;5;3;4;3;2;1;1;4;5;5;5;2;2;3;4;5;4;1;1;1;3;4;4;1;2;3;1;1;3;2;1;2;4;2;2;4;4;2;2;4;3;1;1;2;1;4;4;2;2;4;2;4;3;3;5;3
f150787gb72;3;4;2;3;4;4;3;4;3;2;2;2;4;3;3;4;4;2;4;3;2;3;3;3;4;4;4;2;3;4;4;4;3;2;2;2;4;3;4;2;4;2;2;2;4;2;2;2;4;3;3;4;4;3;3;3;2;2;2;2;2;4;4;3;2;2;4;4;2;3;3;3
F061188GPG88;2;4;1;2;2;2;4;2;2;2;1;1;5;4;4;5;5;2;3;4;1;1;1;4;1;1;1;4;3;3;5;5;3;1;1;1;4;2;4;1;2;1;4;1;4;2;1;1;5;2;3;4;1;4;3;4;2;1;2;3;1;4;4;5;2;1;2;5;1;4;5;1
010190MMGA029;4;3;5;2;1;2;5;2;2;3;1;4;3;4;2;3;5;2;2;4;4;1;1;3;5;2;5;2;2;2;5;3;3;1;2;4;2;4;5;1;2;2;2;1;5;2;2;3;2;3;1;3;3;4;2;4;2;1;1;3;3;4;3;2;3;1;2;2;4;4;5;1
