"subject","sex","age","education","job","mother_tongue","mother_tongue_details","handedness","glasses","BIS_V","BIS_N","BIS_F","BIS_PC","BIS_M","BIS_PS","BIS_C","BIS_IQ","WMC_MU","WMC_OpSp","WMC_SenSp","WMC_Binding","miniq_sum","miniq_1","miniq_2","miniq_3","miniq_odd","miniq_even","SMS_RT","SMS_a","SMS_v","SMS_t0","SMS_st0","CRT_RT","CRT_a","CRT_v","CRT_t0","CRT_st0","PLM_RT","PLM_a","PLM_v","PLM_t0","PLM_st0","BIS_V_z","BIS_N_z","BIS_F_z","BIS_PC_z","BIS_M_z","BIS_PS_z","BIS_C_z","BIS_IQ_z","WMC_MU_z","WMC_OpSp_z","WMC_SenSp_z","WMC_Binding_z","miniq_1_z","miniq_2_z","miniq_3_z","SMS_v_z","CRT_v_z","PLM_v_z","age_z","SMS_RT_z","CRT_RT_z","PLM_RT_z"
44,"m",49,7,5,1,"deu",2,1,112.2,100.2,101.8,110.67,96,104,102.33,106,0.763333333,0.661428571,0.795238095,0.907142857,34,0.545454545,0.571428571,0.476190476,0.515151515,0.53125,0.807360638,1.4267,2.1907,0.5051,0.39,0.35411,0.7366,6.8164,0.301,0.0915,0.717914407,1.4197,4.095,0.5439,0.1506,1.246599363,0.237455395,0.694424686,1.272292708,-0.361415325,0.399983176,0.599082395,0.839924153,0.659268752,-0.884442103,-0.403110799,0.41615921,-0.380247189,-0.264261213,-0.76958816,-0.247023092,0.357851876,1.144603913,1.208714095,-0.528590731793878,-0.587621451277078,0.0636494535343554
45,"w",26,5,5,1,"deu",2,2,108.6,94.6,95.4,96.17,100.67,104.67,100,96,0.64,0.812619048,0.673333333,0.847571429,49,0.772727273,0.761904762,0.761904762,0.787878788,0.75,0.77790102,1.726,2.8354,0.4901,0.1926,0.34195,0.8701,7.6356,0.2871,0.0604,0.547679825,1.001,2.6682,0.3921,0.1575,0.634950143,-0.558562174,-0.252614155,-0.763616324,0.290734206,0.493704254,0.264795669,-0.102298455,0.049408594,0.274955395,-1.482869646,-0.12327743,1.050790618,0.808103129,0.958898616,0.687495949,0.86929161,-0.831060913,-0.419762636,-0.659417538759767,-0.825217506938439,-1.29730880161712
46,"w",23,5,4,1,"deu",2,2,105.2,112.2,99.2,106.67,105,102,107.33,108,0.766666667,0.770634921,0.874920635,0.945214286,37,0.590909091,0.571428571,0.571428571,0.575757576,0.5625,0.931644898,1.7386,2.3718,0.5759,0.0896,0.33642268,0.6149,5.9124,0.287,0.008,0.637498305,1.2256,3.5517,0.4732,0.1045,0.057281435,1.943207328,0.309690157,0.710662631,0.8954039,0.120218764,1.316435884,1.028368675,0.675751462,-0.046998029,0.302669075,0.760907093,-0.094039627,-0.264261213,-0.193425901,0.015488771,-0.206529862,0.392305973,-0.632172644,0.023341506157015,-0.933216637726116,-0.579245524549495
47,"w",18,5,4,1,"deu",2,1,110,111.4,102.2,115.83,106.33,103.67,97.67,112,0.763333333,0.866825397,0.952380952,NA,31,0.5,0.476190476,0.476190476,0.484848485,0.46875,NA,NA,NA,NA,NA,0.379010101,0.9573,5.2063,0.2863,0.0675,0.680965455,0.7452,2.9803,0.5816,0.1923,0.872813729,1.829490532,0.753614613,1.996795509,1.081133853,0.353822048,-0.069491057,1.405257718,0.659268752,0.69063439,0.988765839,NA,-0.66645475,-0.800443384,-0.76958816,NA,-0.647359448,-0.398901541,-0.986189325,NA,-0.101094659898006,-0.231742826064837
48,"m",20,5,4,1,"deu",2,2,101.4,107,97.4,102.83,110.67,100.67,92.67,101,0.604444444,0.841190476,0.907936508,0.921428571,52,0.818181818,0.857142857,0.761904762,0.818181818,0.8125,1.197409474,2.5863,1.8763,0.5382,0.0679,0.372505051,0.7514,7.9143,0.3271,0.0525,0.709139167,1.1733,3.0776,0.5361,0.0292,-0.588348298,1.204048157,0.043335483,0.171497756,1.687200013,-0.06582457,-0.786844546,0.368812849,-0.126406949,0.49405413,0.595103763,0.545520513,1.33699818,1.3442853,0.958898616,-0.702758762,1.043288503,-0.264171945,-0.844582652,1.20357170746931,-0.228197803144712,-0.0065051248047004
49,"w",56,8,5,1,"deu",2,1,113.8,103,106.2,113,106.67,100.67,105,112,0.535555556,0.848015873,0.818095238,0.866642857,28,0.409090909,0.476190476,0.428571429,0.454545455,0.40625,1.172858242,1.7026,1.2745,0.6653,0.3823,0.491565657,1.3469,3.9702,0.3228,0.2175,0.903741176,1.8082,2.7378,0.5879,0.25,1.518443461,0.635464179,1.345513889,1.599442229,1.12861369,-0.06582457,0.982149158,1.405257718,-0.467049556,0.546394385,-0.200656014,0.049419908,-1.238869873,-0.800443384,-1.057669289,-1.575092498,-1.419076557,-0.734687019,1.704337448,1.09454248347738,2.09814515493517,1.54926108618534
50,"w",57,7,5,1,"deu",2,1,100.6,103,92.8,99.67,92.33,97,105.33,94,0.202222222,0.522222222,0.628412698,0.520214286,35,0.545454545,0.523809524,0.571428571,0.515151515,0.5625,1.25187033,1.4176,1.8232,0.9165,0.3151,0.43247,1.0249,4.8365,0.3289,0.0827,0.895851695,1.7428,2.3938,0.5434,0.2175,-0.724270347,0.635464179,-0.637348684,-0.272190006,-0.873918277,-0.579192265,1.029494488,-0.290742976,-2.11532026,-1.951939845,-1.880749535,-3.087591749,-0.380247189,-0.532352298,-0.193425901,-0.779729386,-0.878231535,-1.21101776,1.775140784,1.44542616380032,0.943466288988074,1.48618780125307
51,"w",18,4,3,1,"deu",2,1,98,93.8,101.6,101.17,102.33,96.67,87.67,92,0.844444444,0.964285714,0.923809524,1,52,0.772727273,0.857142857,0.80952381,0.787878788,0.84375,0.744586735,1.4932,3.3254,0.529,0.2763,0.377134021,0.4978,6.2466,0.3408,0.025,0.676385965,1.3389,2.8297,0.4505,0.196,-1.166017006,-0.672278969,0.664829722,-0.061578726,0.52254753,-0.625353393,-1.504198035,-0.479187498,1.060347955,1.438004528,0.735697364,1.257007697,1.050790618,1.3442853,1.246979746,1.397771008,0.002116572,-0.607434708,-0.986189325,-0.807362482679326,-0.137751667143497,-0.268354040112308
52,"w",37,3,5,1,"deu",2,2,93,94.2,100,96.5,91.67,108,86,88,0.816666667,0.822301587,0.816349206,0.861928571,41,0.636363636,0.666666667,0.619047619,0.636363636,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.015529812,-0.615420571,0.428070012,-0.717281842,-0.96608502,0.959512,-1.743794101,-0.856076541,0.922992067,0.349205518,-0.216121312,0.006730675,0.192167934,0.271920958,0.094655228,NA,NA,NA,0.359074062,NA,NA,NA
53,"w",19,5,4,1,"deu",2,2,112.6,106,101.8,109.17,106,113.67,96,110,0.956666667,0.863809524,0.958730159,0.923857143,62,0.954545455,1,0.952380952,0.96969697,0.96875,NA,NA,NA,NA,NA,0.338484848,0.6735,6.9716,0.2929,0.0716,0.541319469,0.776,3.5541,0.4485,0.1794,1.314560388,1.061902162,0.694424686,1.061681429,1.035050481,1.752644108,-0.309087123,1.216813197,1.615265761,0.667507301,1.045003284,0.56751194,2.195620864,2.148558557,2.111223134,NA,0.454745732,0.395629211,-0.915385988,NA,-0.892923629263033,-1.34815733604653
54,"w",58,5,5,1,"deu",2,1,100.6,85.6,85.4,91.17,94.67,87.67,88,78,0.203333333,NA,0.703492063,0.567857143,30,0.454545455,0.476190476,0.476190476,0.454545455,0.46875,1.188806593,1.4452,1.4833,0.8173,0.2523,0.57092,0.9077,5.2698,0.4881,0.199,0.719266087,1.142,3.3473,0.5584,0.217,-0.724270347,-1.837876123,-1.732362344,-1.465653921,-0.547145278,-1.884293247,-1.456852705,-1.798299149,-2.109826025,NA,-1.215741808,-2.656171796,-0.952662312,-0.800443384,-0.76958816,-1.27242835,-0.607715377,0.109276894,1.84594412,1.165367293144,3.64866151154691,0.0744556013376453
55,"m",30,6,5,1,"deu",1,1,109.4,98.2,109,109,103.67,101,105,108,0.537777778,0.822222222,0.813015873,0.823785714,49,0.772727273,0.761904762,0.761904762,0.787878788,0.75,0.71699697,1.9033,3.1798,0.4265,0.2161,0.334242424,1.0066,7.1922,0.2658,0.0675,0.62482437,1.3762,3.908,0.446,0.2134,0.770872192,-0.046836594,1.759843382,1.037812151,0.709673948,-0.019663442,0.982149158,1.028368675,-0.456061086,0.348596911,-0.245645965,-0.33866401,1.050790618,0.808103129,0.958898616,1.186717847,0.59246986,0.885668307,-0.136549291,-0.929885485519664,-0.97581698525342,-0.680568629766173
56,"w",49,5,6,1,"deu",2,1,99.4,81.8,85.2,88.67,88.67,88.33,89.67,74,0.38,0.565634921,0.651746032,NA,27,0.409090909,0.428571429,0.428571429,0.424242424,0.40625,1.015971111,1.6158,1.5603,0.5739,0.4391,0.4376,1.1204,5.5899,0.3387,0.1378,0.705114912,1.3364,4.3357,0.5494,0.2711,-0.92815342,-2.378030902,-1.761957308,-1.81667272,-1.385024762,-1.791970991,-1.21725664,-2.175188192,-1.236242552,-1.61903148,-1.674076937,NA,-1.238869873,-1.06853447,-1.057669289,-1.160813698,-0.407871799,1.477896962,1.208714095,0.39782461012379,1.04370212497021,-0.038677454296981
57,"m",58,5,5,1,"deu",2,1,89.8,101.8,93.6,98.67,97,82,99,87,0.556666667,0.827539683,0.881746032,0.720214286,33,0.5,0.523809524,0.523809524,0.515151515,0.5,1.062758947,1.3416,2.9848,0.8447,0.4125,0.420051546,0.751,7.8032,0.3728,0.0612,0.789000855,1.3436,3.0039,0.5745,0.2221,-2.559218008,0.464888986,-0.518968829,-0.412597525,-0.221768745,-2.677425355,0.121324971,-0.950298802,-0.362659079,0.389373626,0.363124325,-1.276533471,-0.66645475,-0.532352298,-0.481507031,0.904057365,0.973926986,-0.366223037,1.84594412,0.605604058883909,0.700820262029846,0.631957532294736
58,"m",59,6,7,1,"deu",2,2,104.8,88.6,98,98.67,95.67,93.67,99,91,0.581111111,0.88452381,0.93968254,0.869071429,30,0.5,0.428571429,0.476190476,0.515151515,0.40625,0.96547732,1.563,2.3224,0.6555,0.2025,0.44530303,0.9204,4.9536,0.3565,0.1038,0.779925664,1.2713,2.6417,0.5605,0.2115,-0.01067959,-1.41143814,0.132120374,-0.412597525,-0.407498697,-1.045000011,0.121324971,-0.573409759,-0.241785897,0.826353889,0.876290965,0.071411335,-0.66645475,-1.06853447,-0.76958816,-0.056118551,-0.805124122,-0.867754997,1.916747456,0.173587437458042,1.19421277831241,0.559404964165386
59,"m",23,5,4,1,"deu",2,2,112.8,102.2,106.8,113.67,87,112.33,109.67,111,0.451111111,0.811428571,0.789206349,0.958357143,40,0.636363636,0.619047619,0.619047619,0.606060606,0.625,0.58855,1.1749,2.6258,0.3866,0.2205,0.322090909,0.6723,7.6513,0.2788,0.1061,0.547682456,1.271,3.4752,0.3667,0.0996,1.3485409,0.521747384,1.43429878,1.693515267,-1.618234551,1.565201952,1.652157316,1.311035457,-0.88461147,0.265826275,-0.456536366,0.879919493,0.192167934,0.003829873,0.094655228,0.383672169,0.879093373,0.286377771,-0.632172644,-1.5003038442894,-1.21324725123285,-1.29728776781114
60,"m",25,4,4,2,"ung",2,1,98.2,105,107,106.83,102.33,104.67,96.33,103,0.891111111,0.846031746,0.915079365,0.971428571,46,0.727272727,0.714285714,0.714285714,0.727272727,0.71875,0.593572917,0.9702,2.4393,0.4485,0.0675,0.328474747,0.9849,8.9041,0.2726,0.0337,0.620755752,0.8494,3.3193,0.5063,0.2313,-1.132036494,0.919756168,1.463893744,0.733127834,0.52254753,0.493704254,-0.261741792,0.557257371,1.291105855,0.531179195,0.658370882,0.998285082,0.764583057,0.540012044,0.670817487,0.113332784,1.661236561,0.070505787,-0.490565972,-1.47799764219388,-1.08851248735282,-0.713095623923905
61,"m",56,7,2,1,"deu",2,1,100.8,100.6,82.4,97.67,93,93.33,91.33,86,0.79,0.840634921,0.901587302,0.971428571,32,0.5,0.476190476,0.523809524,0.484848485,0.5,1.193351,2.5584,1.6843,0.4855,0.0375,0.45089,1.2572,4.984,0.3258,0.0538,0.717380508,1.355,3.717,0.5367,0.1082,-0.690289834,0.294313793,-2.176286801,-0.553005044,-0.780355067,-1.092559961,-0.979095281,-1.044521062,0.79113041,0.489793881,0.538866326,0.998285082,-0.66645475,-0.800443384,-0.481507031,-0.981070622,-0.786144913,0.621193971,1.704337448,1.18554848685002,1.30337741935668,0.0593811418732904
62,"m",26,5,4,1,"deu",2,1,110.2,94.2,97.4,103.83,100.33,95,100,98,0.513333333,0.87952381,0.791746032,0.910785714,48,0.727272727,0.761904762,0.761904762,0.757575758,0.75,0.602353488,1.0005,1.7199,0.4091,0.1768,0.550216495,1.5519,2.306,0.1836,0.057,0.791466964,1.5622,2.7291,0.4959,0.1422,0.906794241,-0.615420571,0.043335483,0.311905275,0.243254369,-0.858956677,0.264795669,0.086146067,-0.576934273,0.788011609,-0.434041386,0.449146341,0.764583057,0.808103129,0.958898616,-0.929466965,-2.458063381,-0.746733756,-0.419762636,-1.43900412682423,3.24413263602345,0.651673099849943
63,"w",55,6,6,1,"deu",2,1,105.6,90.8,92.4,94.5,94.33,95,103,89,0.522222222,0.848015873,0.89984127,0.7845,43,0.636363636,0.714285714,0.666666667,0.666666667,0.6875,0.903559794,1.8481,2.1053,0.485,0.3076,0.3527,0.9287,8.277,0.2963,0.0135,0.601377966,1.4348,4.1125,0.4293,0.1902,0.125242459,-1.098716952,-0.696538612,-0.998096881,-0.594625115,-0.858956677,0.695207762,-0.76185428,-0.532980387,0.546394385,0.523401028,-0.694407598,0.192167934,0.540012044,0.382736358,-0.370813888,1.269727946,1.168835854,1.633534112,-0.101381240744351,-0.615171651810179,-0.868013370444167
64,"w",54,5,6,1,"deu",2,1,109.4,96.2,100,104.33,104.33,96.67,99.67,100,0.458888889,0.80515873,0.923809524,0.797642857,37,0.590909091,0.571428571,0.571428571,0.575757576,0.5625,1.131408163,1.7267,2.6896,0.8143,0.4377,0.43879,1.2493,4.5894,0.3015,0.0375,0.874104237,1.5062,3.3265,0.652,0.1851,0.770872192,-0.331128583,0.428070012,0.382109035,0.801840691,-0.625353393,0.217450338,0.274590589,-0.846151819,0.217746276,0.735697364,-0.575395198,-0.094039627,-0.264261213,-0.193425901,0.476152881,-1.032500039,0.0804755,1.562730776,0.910467405380515,1.06695371265418,1.31232546290833
65,"w",38,5,5,1,"deu",2,1,110.6,105.2,95.8,102.17,108.33,112,94.67,104,0.717777778,0.642142857,0.896825397,0.807142857,26,0.409090909,0.428571429,0.380952381,0.393939394,0.40625,1.333454639,1.8447,2.3366,0.9591,0.3374,0.375191919,0.6735,7.6219,0.3346,0.0344,0.664265517,1.3622,2.8408,0.4317,0.0526,0.974755265,0.948185367,-0.193424228,0.078828793,1.360427014,1.519040824,-0.499903151,0.651479632,0.434005092,-1.03233375,0.496688244,-0.48936993,-1.238869873,-1.06853447,-1.345750419,-0.03553507,0.86073848,-0.592064734,0.429877398,1.80773278451035,-0.175698688105014,-0.365252235343487
66,"w",23,5,4,1,"deu",2,2,112,103.2,109.6,101.67,116,118.67,103.33,113,0.664444444,0.831746032,0.874920635,0.911928571,48,0.727272727,0.761904762,0.761904762,0.757575758,0.75,0.610189474,1.1561,2.8058,0.4146,0.0525,0.320867347,0.9154,6.9606,0.2555,0.0525,0.543861864,1.1817,4.5565,0.4131,0.1729,1.212618851,0.663893378,1.848628273,0.008625033,2.431516288,2.452055138,0.742553092,1.499479979,0.170281777,0.421629828,0.302669075,0.459495244,0.764583057,0.808103129,0.958898616,0.644589537,0.447878255,1.783634833,-0.632172644,-1.40420540581537,-1.2371546118461,-1.3278318920477
67,"w",22,7,4,1,"deu",2,2,106.2,101,95.2,99.17,93.33,106.33,106,98,0.58,0.83531746,0.787460317,0.902357143,25,0.363636364,0.428571429,0.380952381,0.363636364,0.40625,1.241555208,2.1645,1.8311,0.6832,0.327,0.423575758,1.0834,4.174,0.2945,0.0566,0.856831897,1.5028,2.0221,0.5149,0.0475,0.227183996,0.35117219,-0.282209119,-0.342393765,-0.734271696,0.725908716,1.125619855,0.086146067,-0.247280132,0.449017166,-0.472001665,0.372823175,-1.525077435,-1.06853447,-1.345750419,-0.768278013,-1.291840939,-1.725704202,-0.70297598,1.39961788228345,0.769680366512941,1.17423992568897
68,"w",21,5,4,1,"deu",2,2,109.2,99.2,99.4,104.83,101.33,99.67,102.33,102,0.653333333,0.76468254,0.706507937,0.8095,35,0.545454545,0.571428571,0.523809524,0.545454545,0.53125,0.891534,2.0204,2.8612,0.5483,0.482,0.390329897,0.9664,6.148,0.3074,0.085,0.783224786,1.6566,3.39,0.5429,0.2702,0.73689168,0.095309401,0.33928512,0.452312795,0.382900949,-0.205706775,0.599082395,0.46303511,0.115339421,-0.0926436,-1.189029015,-0.468025313,-0.380247189,-0.264261213,-0.481507031,0.724894105,-0.059440993,0.168402832,-0.773779316,-0.154786421702555,0.120084524352919,0.585780141687494
69,"m",51,6,5,1,"deu",2,2,88.2,93.4,84.4,86.17,88.67,92,90.33,73,NA,NA,NA,NA,15,0.227272727,0.238095238,0.238095238,0.242424242,0.21875,0.946962766,1.5719,2.6373,0.6126,0.6835,0.36436,0.6149,7.3305,0.3265,0.1377,0.692071186,1.6679,4.0792,0.4874,0.1915,-2.831062106,-0.729137367,-1.880337163,-2.167691518,-1.385024762,-1.278603295,-1.122565979,-2.269410453,NA,NA,NA,NA,-2.383700119,-2.140898812,-2.209993807,0.40034189,0.678812774,1.122725931,1.350320767,0.0913664126566499,-0.387345170805946,-0.142956892523193
70,"m",46,7,6,1,"deu",2,2,108,105.4,93.4,102,95,109.67,102.67,101,0.421111111,0.765079365,0.879365079,0.896428571,38,0.590909091,0.619047619,0.571428571,0.575757576,0.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533008606,0.976614566,-0.548563793,0.054959515,-0.501061906,1.193115284,0.647862432,0.368812849,-1.032955833,-0.089600565,0.342035279,0.319138228,-0.094039627,0.003829873,-0.193425901,NA,NA,NA,0.996304087,NA,NA,NA
71,"w",23,5,4,1,"deu",2,1,114.8,105,100.8,109.17,102,112,102,110,0.761111111,0.88452381,0.818095238,0.917857143,48,0.727272727,0.761904762,0.761904762,0.757575758,0.75,0.582668421,1.1222,3.292,0.4143,0.2149,0.325701031,0.8721,8.3637,0.2735,0.0525,0.503735088,1.0306,4.7455,0.3925,0.151,1.688346023,0.919756168,0.546449867,1.061681429,0.476464158,1.519040824,0.551737064,1.216813197,0.648280282,0.826353889,-0.200656014,0.513180191,0.764583057,0.808103129,0.958898616,1.34935634,1.32385615,2.045339804,-0.632172644,-1.52642326649262,-1.14270853843217,-1.64862961956122
72,"w",54,5,5,1,"deu",2,1,105,89.2,90.6,91,93,101.33,98.33,86,0.483333333,0.465793651,0.832539683,0.590428571,47,0.727272727,0.761904762,0.714285714,0.757575758,0.71875,1.45066701,1.4275,2.1706,1.1581,0.0199,0.407505051,0.6725,6.9581,0.3617,0.0954,0.638748305,1.5867,3.487,0.4181,0.2046,0.023300923,-1.326150543,-0.962893286,-1.489523199,-0.780355067,0.026497686,0.025199603,-1.044521062,-0.725278636,-2.384659851,-0.072715833,-2.451780939,0.764583057,0.808103129,0.670817487,-0.276158865,0.446317465,0.302717023,1.562730776,2.32825956916965,0.455672422854271,-0.569252268191399
73,"w",59,6,5,1,"deu",2,1,95,96.6,89.6,90.67,92,94,101.33,84,0.247777778,0.50547619,0.615873016,0.687,29,0.454545455,0.476190476,0.428571429,0.454545455,0.4375,1.27636044,1.6429,1.2877,0.817,0.3763,0.452424242,1.2095,4.6804,0.3275,0.1125,0.8452225,1.851,2.9275,0.536,0.2074,-1.675724689,-0.274270185,-1.110868105,-1.535857681,-0.920001648,-0.998838883,0.455611697,-1.232965584,-1.890056595,-2.080356053,-1.991818474,-1.577298509,-0.952662312,-0.800443384,-1.057669289,-1.555958557,-0.975687275,-0.472012771,1.916747456,1.55418395195437,1.33335520287888,1.08142738138184
74,"m",25,7,4,1,"deu",2,1,102,84.8,89.2,96.83,88,90.67,87.67,81,0.786666667,0.96547619,0.937777778,0.95,39,0.636363636,0.619047619,0.571428571,0.606060606,0.59375,0.898435714,1.6105,2.5975,0.6047,0.2775,0.476072917,1.2952,4.4194,0.3231,0.1897,0.967267241,2.0909,2.3186,0.5322,0.264,-0.486406761,-1.951592919,-1.170058032,-0.670947361,-1.478587971,-1.464646629,-1.504198035,-1.515632366,0.774647704,1.447133641,0.859419732,0.804243128,0.192167934,0.003829873,-0.193425901,0.34265016,-1.138633773,-1.315145875,-0.490565972,-0.12413669619655,1.79543019478821,2.0571268885582
75,"w",60,5,5,1,"deu",2,1,89.8,81.4,82,85,85,86.67,80.33,70,0.378888889,NA,NA,0.638071429,19,0.318181818,0.285714286,0.285714286,0.303030303,0.28125,1.544358511,1.3896,2.0184,1.2267,0.2363,0.372181818,0.9663,5.7001,0.2876,0.1037,0.946684685,2.1809,2.4488,0.4939,0.4526,-2.559218008,-2.4348893,-2.235476728,-2.331968316,-1.897527713,-2.024175453,-2.557272957,-2.552077235,-1.241736787,NA,NA,-2.020360977,-1.811284996,-1.872807726,-1.921912677,-0.496778995,-0.339072167,-1.134860228,1.987550793,2.74433285008156,-0.234513500995007,1.89257748166791
76,"w",27,7,5,1,"deu",2,1,100.6,90.6,93,95.17,94,93.33,96,86,0.401111111,0.772619048,0.792539683,0.835714286,28,0.454545455,0.428571429,0.428571429,0.424242424,0.4375,1.140835052,2.079,2.0788,0.659,0.1506,0.36602,1.1921,4.685,0.2403,0.0675,0.68044087,1.3709,4.5326,0.5146,0.3314,-0.724270347,-1.127146151,-0.60775372,-0.904023843,-0.640708487,-1.092559961,-0.309087123,-1.044521062,-1.131852075,-0.031782839,-0.427011704,-0.230647315,-0.952662312,-1.06853447,-1.057669289,-0.409226723,-0.972815422,1.750540924,-0.348959299,0.952331145347946,-0.354910182944281,-0.235936675974127
77,"m",23,7,4,1,"deu",2,1,110,99.6,106.2,105.67,109.33,108.33,97.33,107,0.771111111,0.93547619,0.88047619,0.869071429,62,0.954545455,1,0.952380952,0.96969697,0.96875,0.669308163,1.6318,3.8747,0.461,0.1502,0.33388,0.8163,7.4389,0.2801,0.044,NA,NA,NA,NA,NA,0.872813729,0.152167798,1.345513889,0.570255111,1.500073595,1.005673128,-0.118271095,0.934146414,0.697728403,1.217079965,0.35187683,0.071411335,2.195620864,2.148558557,2.111223134,2.194003844,0.746488637,NA,-0.632172644,-1.14166604383588,-0.982898441904489,NA
78,"w",20,5,4,1,"deu",2,1,104,96.8,100.2,102.67,93.67,103,99.67,97,0.617777778,0.778492063,0.904761905,0.919071429,53,0.818181818,0.80952381,0.857142857,0.818181818,0.84375,0.591932258,1.1354,3.5487,0.4265,0.0938,0.313494949,0.7822,8.4878,0.2701,0.0238,0.551503636,1.0239,2.8422,0.3899,0.1601,-0.146601639,-0.245840986,0.457664976,0.149032553,-0.686791858,0.26010097,0.217450338,-0.008076194,-0.060476118,0.013254117,0.566985045,0.524175905,1.33699818,1.076194215,1.535060875,1.721453499,1.401333776,-0.590126178,-0.844582652,-1.48528362187936,-1.38120499717223,-1.2667389427468
80,"m",55,6,5,1,"deu",2,1,101,96.8,105.8,100.17,100.67,104.67,100.33,99,0.384444444,0.518650794,0.815555556,NA,28,0.454545455,0.476190476,0.380952381,0.424242424,0.4375,0.766709877,0.9535,1.7316,0.5837,0.2776,0.357270833,0.8408,5.6056,0.2815,0.0375,0.69181875,1.145,3.6751,0.524,0.3675,-0.656309322,-0.245840986,1.286323961,-0.201986246,0.290734206,0.493704254,0.312140999,0.180368328,-1.214265611,-1.979327183,-0.223150985,NA,-0.952662312,-0.800443384,-1.345750419,-0.912507336,-0.398070036,0.563175779,1.633534112,-0.709116129725498,-0.525861463332647,-0.144975018652802
81,"w",54,5,5,1,"deu",2,1,106,95.4,95.6,100.17,100.33,97,97.33,95,0.515555556,0.617222222,0.720952381,0.789285714,30,0.454545455,0.476190476,0.476190476,0.454545455,0.46875,0.94866383,1.4982,1.8346,0.5923,0.0157,0.379061224,0.8492,6.1341,0.3106,0.1423,0.732276923,1.61,2.696,0.4412,0.1298,0.193203484,-0.444845378,-0.223019191,-0.201986246,0.243254369,-0.579192265,-0.118271095,-0.196520715,-0.565945798,-1.223436539,-1.061088843,-0.651071563,-0.952662312,-0.800443384,-0.76958816,-0.763204619,-0.068118987,-0.792566743,1.562730776,0.0989206440646955,-0.100095759967614,0.178472097002563
82,"w",20,5,3,1,"deu",2,1,102.4,94.2,97.4,103.83,92.67,96.33,93.33,93,0.577777778,0.758730159,0.766666667,0.845285714,43,0.681818182,0.666666667,0.619047619,0.666666667,0.65625,0.6293,1.2344,2.5397,0.4168,0.0377,0.35358,0.7908,8.5625,0.3097,0.0359,0.620517949,1.1172,4.856,0.503,0.219,-0.418445736,-0.615420571,0.043335483,0.311905275,-0.826438439,-0.672913344,-0.692153886,-0.384965237,-0.258268602,-0.138289171,-0.656179273,-0.143975245,0.478375496,0.271920958,0.094655228,0.258866694,1.447970187,2.198347207,-0.844582652,-1.31933773726588,-0.597977200413633,-0.714996764997285
83,"w",22,7,4,1,"deu",2,1,110.2,108.4,95.2,110.67,106,95.33,100.33,106,0.753333333,0.763492063,0.909206349,0.911928571,40,0.636363636,0.619047619,0.619047619,0.606060606,0.625,1.155385714,1.7277,2.1517,0.7619,0.1849,0.446959596,1.4396,4.3589,0.2771,0.0908,0.684030769,1.4933,3.8463,0.4848,0.1468,0.906794241,1.403052549,-0.282209119,1.272292708,1.035050481,-0.812795549,0.312140999,0.839924153,0.609820631,-0.10177272,0.606351249,0.459495244,0.192167934,0.003829873,0.094655228,-0.303555189,-1.176404896,0.800233404,-0.70297598,1.01694897741555,1.22658066873533,-0.207236851168788
84,"m",21,5,4,1,"deu",2,1,108.8,102.4,97.8,101.83,99,109.33,103,103,0.577777778,0.652619048,0.713650794,0.922642857,33,0.5,0.523809524,0.523809524,0.515151515,0.5,0.988660204,1.6504,2.6903,0.6888,0.4275,0.410606061,1.0834,7.1335,0.3355,0.1245,0.662236134,1.0874,4.9639,0.5504,0.1798,0.668930655,0.550176583,0.10252541,0.031090236,0.057524416,1.145555334,0.695207762,0.557257371,-0.258268602,-0.951997542,-1.125761897,0.556516226,-0.66645475,-0.532352298,-0.481507031,0.477167559,0.555822506,2.347754436,-0.773779316,0.276539983888909,0.516263520269275,-0.381476350997697
85,"m",35,3,5,1,"deu",2,2,110.8,100.8,100.2,105.83,103.67,107,97.33,105,0.81,0.806269841,0.952380952,0.808357143,54,0.818181818,0.857142857,0.857142857,0.848484848,0.84375,0.840143299,1.4627,2.6187,0.5779,0.2516,0.377346939,0.5564,7.9974,0.3461,0.0506,0.785392437,1.8637,3.328,0.504,0.2475,1.008735778,0.322742992,0.457664976,0.592720314,0.709673948,0.819629794,-0.118271095,0.745701893,0.890026652,0.226266782,0.988765839,-0.478374216,1.33699818,1.3442853,1.535060875,0.373380428,1.095169169,0.082552524,0.21746739,-0.383006669486105,-0.133591430549804,0.603109655397802
86,"w",20,5,4,1,"deu",2,1,107.4,99.8,99.4,104.33,98.33,109.33,94.67,101,0.741111111,0.791269841,0.833968254,0.923857143,54,0.818181818,0.904761905,0.80952381,0.818181818,0.875,0.608669792,1.0464,2.7919,0.4487,0.1575,0.329919192,0.732,8.3659,0.2885,0.0404,0.512530769,1.6545,4.2722,0.3228,0.0737,0.43106707,0.180596997,0.33928512,0.382109035,-0.036038793,1.145555334,-0.499903151,0.368812849,0.54938404,0.111239944,-0.060062413,0.56751194,1.33699818,1.612376386,1.246979746,0.624440918,1.325229645,1.389969631,-0.844582652,-1.41095414042773,-1.06028926082159,-1.57831162349959
